filename,width,height,class,xmin,ymin,xmax,ymax
gun1049.jpg,500,469,gun,157,73,355,469
gun216.jpg,331,281,gun,13,17,310,278
gun111.jpg,590,522,gun,56,5,559,294
gun980.jpg,500,375,gun,49,83,414,296
gun122.jpg,500,323,gun,199,56,309,217
gun1198.jpg,415,500,gun,1,44,208,419
gun872.jpg,334,500,gun,191,220,248,273
gun72.jpg,500,333,gun,34,53,314,318
gun500.jpg,500,356,gun,177,125,353,245
gun500.jpg,500,356,gun,313,201,466,311
gun500.jpg,500,356,gun,316,101,456,196
gun500.jpg,500,356,gun,178,30,309,140
gun500.jpg,500,356,gun,263,3,445,101
gun500.jpg,500,356,gun,98,86,214,135
gun500.jpg,500,356,gun,2,145,183,260
gun500.jpg,500,356,gun,18,223,187,326
gun500.jpg,500,356,gun,232,233,357,332
gun311.jpg,500,375,gun,403,69,497,154
gun1276.jpg,500,375,gun,114,6,437,372
gun303.jpg,500,366,gun,19,11,474,349
gun261.jpg,500,333,gun,10,115,497,297
gun439.jpg,340,454,gun,14,41,319,397
gun657.jpg,500,386,gun,334,105,374,137
gun259.jpg,400,300,gun,52,14,357,185
gun691.jpg,500,478,gun,18,15,489,466
gun515.jpg,375,500,gun,13,59,64,135
gun515.jpg,375,500,gun,269,54,332,128
gun828.jpg,500,333,gun,117,244,385,333
gun828.jpg,500,333,gun,34,105,491,227
gun87.jpg,500,313,gun,13,3,413,282
gun186.jpg,500,375,gun,15,9,495,322
gun708.jpg,376,472,gun,116,258,368,465
gun672.jpg,500,313,gun,8,14,483,299
gun1129.jpg,450,300,gun,79,16,324,198
gun1214.jpg,500,332,gun,82,61,471,322
gun507.jpg,500,376,gun,12,55,466,355
gun1006.jpg,500,375,gun,233,2,500,285
gun374.jpg,461,332,gun,12,10,433,305
gun774.jpg,332,500,gun,256,397,312,499
gun362.jpg,500,375,gun,246,101,449,307
gun736.jpg,375,500,gun,62,100,375,491
gun368.jpg,300,298,gun,45,11,233,288
gun174.jpg,590,371,gun,90,30,582,311
gun284.jpg,500,333,gun,99,51,408,292
gun99.jpg,500,404,gun,3,24,236,298
gun99.jpg,500,404,gun,259,27,482,303
gun94.jpg,265,322,gun,59,127,208,277
gun592.jpg,500,324,gun,88,6,463,219
gun952.jpg,500,333,gun,309,137,339,165
gun636.jpg,320,240,gun,8,65,310,162
gun79.jpg,590,417,gun,24,2,569,405
gun1108.jpg,500,375,gun,5,44,491,371
gun493.jpg,500,375,gun,41,29,494,309
gun631.jpg,500,432,gun,1,64,254,294
gun825.jpg,387,500,gun,241,52,294,96
gun825.jpg,387,500,gun,286,162,334,193
gun825.jpg,387,500,gun,182,386,199,413
gun825.jpg,387,500,gun,78,345,111,386
gun825.jpg,387,500,gun,30,78,83,194
gun362.jpg,500,375,gun,246,101,449,307
gun738.jpg,500,333,gun,331,143,392,221
gun701.jpg,500,334,gun,23,27,435,217
gun1063.jpg,1024,768,gun,47,65,1017,670
gun879.jpg,500,375,gun,1,28,487,347
gun1032.jpg,500,375,gun,89,58,427,328
gun404.jpg,500,333,gun,340,74,402,116
gun93.jpg,491,248,gun,1,5,483,248
gun337.jpg,500,333,gun,393,98,481,208
gun652.jpg,500,375,gun,42,48,488,332
gun1015.jpg,540,359,gun,28,67,530,286
gun1096.jpg,500,334,gun,130,54,331,182
gun1096.jpg,500,334,gun,248,61,398,195
gun136.jpg,480,360,gun,6,1,466,281
gun1031.jpg,500,335,gun,64,32,282,234
gun453.jpg,440,310,gun,37,1,438,310
gun663.jpg,500,375,gun,25,47,478,339
gun312.jpg,500,442,gun,94,74,402,418
gun920.jpg,500,375,gun,16,94,455,362
gun1028.jpg,559,455,gun,5,9,484,447
gun1189.jpg,500,357,gun,114,54,380,227
gun1189.jpg,500,357,gun,116,125,382,298
gun307.jpg,555,434,gun,37,11,515,396
gun482.jpg,290,495,gun,6,89,84,134
gun437.jpg,450,306,gun,6,3,449,299
gun1232.jpg,450,297,gun,11,21,193,181
gun362.jpg,500,375,gun,246,101,449,307
gun894.jpg,500,375,gun,130,84,347,326
gun1251.jpg,700,500,gun,9,40,680,488
gun985.jpg,375,500,gun,210,152,305,229
gun322.jpg,500,375,gun,274,95,318,120
gun568.jpg,960,385,gun,6,195,313,379
gun568.jpg,960,385,gun,14,5,310,180
gun568.jpg,960,385,gun,330,8,643,161
gun568.jpg,960,385,gun,337,211,642,377
gun568.jpg,960,385,gun,668,221,957,385
gun568.jpg,960,385,gun,663,4,956,193
gun307.jpg,555,434,gun,37,11,515,396
gun992.jpg,500,333,gun,313,125,457,204
gun113.jpg,500,375,gun,74,1,358,372
gun232.jpg,500,333,gun,218,86,253,113
gun420.jpg,500,369,gun,1,2,496,364
gun875.jpg,500,375,gun,6,9,494,253
gun1311.jpg,1017,557,gun,4,8,518,348
gun1311.jpg,1017,557,gun,167,193,700,535
gun1311.jpg,1017,557,gun,521,13,1017,368
gun1311.jpg,1017,557,gun,328,209,846,557
gun343.jpg,500,375,gun,207,152,267,214
gun1227.jpg,500,340,gun,9,16,482,311
gun377.jpg,500,281,gun,20,8,478,255
gun458.jpg,500,499,gun,2,13,488,224
gun260.jpg,500,333,gun,16,53,443,309
gun643.jpg,1024,432,gun,1,13,1020,423
gun830.jpg,400,300,gun,106,45,283,192
gun830.jpg,400,300,gun,240,30,385,177
gun830.jpg,400,300,gun,12,69,194,170
gun830.jpg,400,300,gun,15,139,207,223
gun830.jpg,400,300,gun,218,172,399,264
